INPUT_CFG;CLASS;TIME;INFO;TEST_RAN;TEST_FOUND;TEST_RAN_PER_MUT;NUMBER_Of_FILES;NUMBER_Of_LINES;NUMBER_Of_LINES_COVERED;NUMBER_Of_MUTATIONS;NUMBER_Of_MUTATIONS_DETECTED;KILLED;SURVIVED;NO_COVERAGE;TIMED_OUT;MEMORY_ERRORRUN_ERROR;RUN_ERROR;NON_VIABLE;NOT_STARTED;STARTED
11_2.ini;com.uj.atm.common.CreditCard;23468;OK;21;cpFromLog;1;1;33;33;21;15;15;6;0;0;0;11;0;0;0
11_2.ini;com.uj.atm.common.DummySample;22512;OK;21;cpFromLog;1;1;33;33;21;15;15;6;0;0;0;11;0;0;0
11_20.ini;com.uj.atm.common.Account;987;OK;8;cpFromLog;1;1;6;6;8;6;6;2;0;0;0;17;0;0;0
11_20.ini;com.uj.atm.common.Atm;1091;OK;17;cpFromLog;1;1;25;22;17;15;15;2;0;0;0;17;0;0;0
11_20.ini;com.uj.atm.common.CreditCard;1359;OK;19;cpFromLog;1;1;33;30;19;13;13;6;0;0;0;17;0;0;0
11_20.ini;com.uj.atm.common.DummySample;435;OK;19;cpFromLog;1;1;33;30;19;13;13;6;0;0;0;17;0;0;0
11_21.ini;com.uj.atm.common.Account;943;OK;8;cpFromLog;1;1;6;6;8;6;6;2;0;0;0;13;0;0;0
11_21.ini;com.uj.atm.common.Atm;834;OK;4;cpFromLog;1;1;25;7;4;3;3;1;0;0;0;13;0;0;0
11_21.ini;com.uj.atm.common.CreditCard;1081;OK;17;cpFromLog;1;1;33;29;17;11;11;6;0;0;0;13;0;0;0
11_21.ini;com.uj.atm.common.DummySample;416;OK;17;cpFromLog;1;1;33;29;17;11;11;6;0;0;0;13;0;0;0
11_22.ini;com.uj.atm.common.Account;934;OK;8;cpFromLog;1;1;6;6;8;5;5;3;0;0;0;11;0;0;0
11_22.ini;com.uj.atm.common.Atm;1090;OK;16;cpFromLog;1;1;25;21;16;5;5;11;0;0;0;11;0;0;0
11_22.ini;com.uj.atm.common.CreditCard;1292;OK;19;cpFromLog;1;1;33;30;19;9;9;10;0;0;0;11;0;0;0
11_22.ini;com.uj.atm.common.DummySample;419;OK;19;cpFromLog;1;1;33;30;19;9;9;10;0;0;0;11;0;0;0
11_23.ini;com.uj.atm.common.Account;804;OK;8;cpFromLog;1;1;6;6;8;6;6;2;0;0;0;3;0;0;0
11_23.ini;com.uj.atm.common.Atm;372;OK;8;cpFromLog;1;1;6;6;8;6;6;2;0;0;0;3;0;0;0
11_23.ini;com.uj.atm.common.CreditCard;374;OK;8;cpFromLog;1;1;6;6;8;6;6;2;0;0;0;3;0;0;0
11_23.ini;com.uj.atm.common.DummySample;351;OK;8;cpFromLog;1;1;6;6;8;6;6;2;0;0;0;3;0;0;0
11_24.ini;com.uj.atm.common.Account;1058;OK;8;cpFromLog;1;1;6;6;8;4;4;4;0;0;0;9;0;0;0
11_24.ini;com.uj.atm.common.Atm;978;OK;13;cpFromLog;1;1;25;17;13;12;12;1;0;0;0;9;0;0;0
11_24.ini;com.uj.atm.common.CreditCard;1226;OK;20;cpFromLog;1;1;33;31;20;16;16;4;0;0;0;9;0;0;0
11_24.ini;com.uj.atm.common.DummySample;430;OK;20;cpFromLog;1;1;33;31;20;16;16;4;0;0;0;9;0;0;0
11_25.ini;com.uj.atm.common.Account;1622;OK;8;cpFromLog;1;1;6;6;8;3;3;5;0;0;0;58;0;0;0
11_25.ini;com.uj.atm.common.Atm;1569;OK;9;cpFromLog;1;1;25;12;9;5;5;4;0;0;0;58;0;0;0
11_25.ini;com.uj.atm.common.CreditCard;3177;OK;12;cpFromLog;1;1;33;24;12;10;10;2;0;0;0;58;0;0;0
11_25.ini;com.uj.atm.common.DummySample;911;OK;12;cpFromLog;1;1;33;24;12;10;10;2;0;0;0;58;0;0;0
11_3.ini;com.uj.atm.common.Account;914;OK;8;cpFromLog;1;1;6;6;8;2;2;6;0;0;0;6;0;0;0
11_3.ini;com.uj.atm.common.Atm;811;OK;3;cpFromLog;1;1;25;6;3;2;2;1;0;0;0;6;0;0;0
11_3.ini;com.uj.atm.common.CreditCard;1101;OK;17;cpFromLog;1;1;33;28;17;10;10;7;0;0;0;6;0;0;0
11_3.ini;com.uj.atm.common.DummySample;392;OK;17;cpFromLog;1;1;33;28;17;10;10;7;0;0;0;6;0;0;0
11_4.ini;com.uj.atm.common.Account;1037;OK;8;cpFromLog;1;1;6;6;8;4;4;4;0;0;0;12;0;0;0
11_4.ini;com.uj.atm.common.Atm;1083;OK;15;cpFromLog;1;1;25;20;15;8;8;7;0;0;0;12;0;0;0
11_4.ini;com.uj.atm.common.CreditCard;1572;OK;20;cpFromLog;1;1;33;32;20;17;17;3;0;0;0;12;0;0;0
11_4.ini;com.uj.atm.common.DummySample;438;OK;20;cpFromLog;1;1;33;32;20;17;17;3;0;0;0;12;0;0;0
11_5.ini;com.uj.atm.common.Account;408;OK;20;cpFromLog;1;1;33;32;20;17;17;3;0;0;0;27;0;0;0
11_5.ini;com.uj.atm.common.Atm;399;OK;20;cpFromLog;1;1;33;32;20;17;17;3;0;0;0;27;0;0;0
11_5.ini;com.uj.atm.common.CreditCard;403;OK;20;cpFromLog;1;1;33;32;20;17;17;3;0;0;0;27;0;0;0
11_5.ini;com.uj.atm.common.DummySample;372;OK;20;cpFromLog;1;1;33;32;20;17;17;3;0;0;0;27;0;0;0
11_6.ini;com.uj.atm.common.Account;938;OK;8;cpFromLog;1;1;6;6;8;5;5;3;0;0;0;14;0;0;0
11_6.ini;com.uj.atm.common.Atm;917;OK;11;cpFromLog;1;1;25;14;11;8;8;3;0;0;0;14;0;0;0
11_6.ini;com.uj.atm.common.CreditCard;1059;OK;13;cpFromLog;1;1;33;25;13;5;5;8;0;0;0;14;0;0;0
11_6.ini;com.uj.atm.common.DummySample;413;OK;13;cpFromLog;1;1;33;25;13;5;5;8;0;0;0;14;0;0;0
11_7.ini;com.uj.atm.common.Account;1006;OK;8;cpFromLog;1;1;6;6;8;4;4;4;0;0;0;33;0;0;0
11_7.ini;com.uj.atm.common.Atm;1088;OK;15;cpFromLog;1;1;25;20;15;12;12;3;0;0;0;33;0;0;0
11_7.ini;com.uj.atm.common.CreditCard;1338;OK;19;cpFromLog;1;1;33;30;19;16;16;3;0;0;0;33;0;0;0
11_7.ini;com.uj.atm.common.DummySample;433;OK;19;cpFromLog;1;1;33;30;19;16;16;3;0;0;0;33;0;0;0
11_8.ini;com.uj.atm.common.Account;958;OK;8;cpFromLog;1;1;6;6;8;4;4;4;0;0;0;3;0;0;0
11_8.ini;com.uj.atm.common.Atm;852;OK;7;cpFromLog;1;1;25;11;7;5;5;2;0;0;0;3;0;0;0
11_8.ini;com.uj.atm.common.CreditCard;1090;OK;18;cpFromLog;1;1;33;28;18;13;13;5;0;0;0;3;0;0;0
