INPUT_CFG;CLASS;TIME;INFO;TEST_RAN;TEST_RAN_PER_MUT;NUMBER_Of_FILES;NUMBER_Of_LINES;NUMBER_Of_LINES_COVERED;NUMBER_Of_MUTATIONS;NUMBER_Of_MUTATIONS_DETECTED;KILLED;SURVIVED;NO_COVERAGE;TIMED_OUT;MEMORY_ERRORRUN_ERROR;RUN_ERROR;NON_VIABLE;NOT_STARTED;STARTED
5_7.ini;com.uj.atm.common.Atm;382;OK;0;0;1;13;1;10;0;0;0;10;0;0;0;0;0;0
5_7.ini;com.uj.atm.common.CreditCard;727;OK;0;0;1;19;8;22;12;0;0;10;0;0;12;0;0;0
5_7.ini;com.uj.atm.common.DummySample;364;OK;0;0;1;8;0;9;0;0;0;9;0;0;0;0;0;0
6.ini;com.uj.atm.common.Account;369;OK;0;0;1;8;0;9;0;0;0;9;0;0;0;0;0;0
6.ini;com.uj.atm.common.Atm;383;OK;0;0;1;8;0;9;0;0;0;9;0;0;0;0;0;0
6.ini;com.uj.atm.common.CreditCard;366;OK;0;0;1;8;0;9;0;0;0;9;0;0;0;0;0;0
6.ini;com.uj.atm.common.DummySample;17886;OK;8;0,89;1;8;8;9;8;4;1;0;4;0;0;0;0;0
6_1.ini;com.uj.atm.common.Account;360;OK;8;0,89;1;8;8;9;8;4;1;0;4;0;0;0;0;0
6_1.ini;com.uj.atm.common.Atm;370;OK;8;0,89;1;8;8;9;8;4;1;0;4;0;0;0;0;0
6_1.ini;com.uj.atm.common.CreditCard;382;OK;8;0,89;1;8;8;9;8;4;1;0;4;0;0;0;0;0
6_1.ini;com.uj.atm.common.DummySample;17903;OK;8;0,89;1;8;8;9;8;4;1;0;4;0;0;0;0;0
6_2.ini;com.uj.atm.common.Account;366;OK;8;0,89;1;8;8;9;8;4;1;0;4;0;0;0;0;0
6_2.ini;com.uj.atm.common.Atm;365;OK;8;0,89;1;8;8;9;8;4;1;0;4;0;0;0;0;0
6_2.ini;com.uj.atm.common.CreditCard;370;OK;8;0,89;1;8;8;9;8;4;1;0;4;0;0;0;0;0
6_2.ini;com.uj.atm.common.DummySample;17902;OK;8;0,89;1;8;8;9;8;4;1;0;4;0;0;0;0;0
6_3.ini;com.uj.atm.common.Account;308;OK;8;0,89;1;8;8;9;8;4;1;0;4;0;0;0;0;0
6_3.ini;com.uj.atm.common.Atm;305;OK;8;0,89;1;8;8;9;8;4;1;0;4;0;0;0;0;0
6_3.ini;com.uj.atm.common.CreditCard;309;OK;8;0,89;1;8;8;9;8;4;1;0;4;0;0;0;0;0
6_3.ini;com.uj.atm.common.DummySample;321;OK;0;0;1;8;0;9;0;0;0;9;0;0;0;0;0;0
6_4.ini;com.uj.atm.common.Account;366;OK;0;0;1;8;0;9;0;0;0;9;0;0;0;0;0;0
6_4.ini;com.uj.atm.common.Atm;363;OK;0;0;1;8;0;9;0;0;0;9;0;0;0;0;0;0
6_4.ini;com.uj.atm.common.CreditCard;362;OK;0;0;1;8;0;9;0;0;0;9;0;0;0;0;0;0
6_4.ini;com.uj.atm.common.DummySample;17883;OK;8;0,89;1;8;8;9;8;4;1;0;4;0;0;0;0;0
6_5.ini;com.uj.atm.common.Account;335;OK;8;0,89;1;8;8;9;8;4;1;0;4;0;0;0;0;0
6_5.ini;com.uj.atm.common.Atm;328;OK;8;0,89;1;8;8;9;8;4;1;0;4;0;0;0;0;0
6_5.ini;com.uj.atm.common.CreditCard;333;OK;8;0,89;1;8;8;9;8;4;1;0;4;0;0;0;0;0
6_5.ini;com.uj.atm.common.DummySample;17821;OK;8;0,89;1;8;8;9;8;4;1;0;4;0;0;0;0;0
6_7.ini;com.uj.atm.common.Account;305;OK;8;0,89;1;8;8;9;8;4;1;0;4;0;0;0;0;0
6_7.ini;com.uj.atm.common.Atm;309;OK;8;0,89;1;8;8;9;8;4;1;0;4;0;0;0;0;0
6_7.ini;com.uj.atm.common.CreditCard;315;OK;8;0,89;1;8;8;9;8;4;1;0;4;0;0;0;0;0
6_7.ini;com.uj.atm.common.DummySample;316;OK;0;0;1;8;0;9;0;0;0;9;0;0;0;0;0;0
7.ini;com.uj.atm.common.Account;718;OK;0;0;1;10;10;11;11;0;0;0;0;0;11;0;0;0
7.ini;com.uj.atm.common.Atm;726;OK;0;0;1;29;29;19;19;0;0;0;0;0;19;0;0;0
7.ini;com.uj.atm.common.CreditCard;745;OK;0;0;1;50;42;34;28;0;0;6;0;0;28;0;0;0
7.ini;com.uj.atm.common.DummySample;348;OK;0;0;1;50;42;34;28;0;0;6;0;0;28;0;0;0
7_1.ini;com.uj.atm.common.Account;703;OK;0;0;1;10;8;11;9;0;0;2;0;0;9;0;0;0
7_1.ini;com.uj.atm.common.Atm;381;OK;0;0;1;29;3;19;0;0;0;19;0;0;0;0;0;0
7_1.ini;com.uj.atm.common.CreditCard;718;OK;0;0;1;50;24;34;13;0;0;21;0;0;13;0;0;0
7_1.ini;com.uj.atm.common.DummySample;352;OK;0;0;1;50;24;34;13;0;0;21;0;0;13;0;0;0
7_2.ini;com.uj.atm.common.Account;387;OK;0;0;1;10;0;11;0;0;0;11;0;0;0;0;0;0
7_2.ini;com.uj.atm.common.Atm;390;OK;0;0;1;29;3;19;0;0;0;19;0;0;0;0;0;0
7_2.ini;com.uj.atm.common.CreditCard;737;OK;0;0;1;50;24;34;13;0;0;21;0;0;13;0;0;0
7_2.ini;com.uj.atm.common.DummySample;363;OK;0;0;1;50;24;34;13;0;0;21;0;0;13;0;0;0
7_3.ini;com.uj.atm.common.Account;703;OK;0;0;1;10;10;11;11;0;0;0;0;0;11;0;0;0
7_3.ini;com.uj.atm.common.Atm;723;OK;0;0;1;29;29;19;19;0;0;0;0;0;19;0;0;0
7_3.ini;com.uj.atm.common.CreditCard;757;OK;0;0;1;50;42;34;28;0;0;6;0;0;28;0;0;0
7_3.ini;com.uj.atm.common.DummySample;348;OK;0;0;1;50;42;34;28;0;0;6;0;0;28;0;0;0
7_4.ini;com.uj.atm.common.Account;389;OK;0;0;1;10;0;11;0;0;0;11;0;0;0;0;0;0
7_4.ini;com.uj.atm.common.Atm;402;OK;0;0;1;29;3;19;0;0;0;19;0;0;0;0;0;0
7_4.ini;com.uj.atm.common.CreditCard;393;OK;0;0;1;50;3;34;0;0;0;34;0;0;0;0;0;0
7_4.ini;com.uj.atm.common.DummySample;358;OK;0;0;1;50;3;34;0;0;0;34;0;0;0;0;0;0
7_5.ini;com.uj.atm.common.Account;289;OK;0;0;1;10;0;11;0;0;0;11;0;0;0;0;0;0
7_5.ini;com.uj.atm.common.Atm;293;OK;0;0;1;29;0;19;0;0;0;19;0;0;0;0;0;0
7_5.ini;com.uj.atm.common.CreditCard;289;OK;0;0;1;50;0;34;0;0;0;34;0;0;0;0;0;0
7_5.ini;com.uj.atm.common.DummySample;287;OK;0;0;1;50;0;34;0;0;0;34;0;0;0;0;0;0
7_6.ini;com.uj.atm.common.Account;366;OK;0;0;1;10;0;11;0;0;0;11;0;0;0;0;0;0
7_6.ini;com.uj.atm.common.Atm;369;OK;0;0;1;29;0;19;0;0;0;19;0;0;0;0;0;0
7_6.ini;com.uj.atm.common.CreditCard;363;OK;0;0;1;50;0;34;0;0;0;34;0;0;0;0;0;0
7_6.ini;com.uj.atm.common.DummySample;372;OK;0;0;1;50;0;34;0;0;0;34;0;0;0;0;0;0
