Operator;NOT_STARTED;All_Mutants;BETHA;MEMORY_ERROR;ALPHA;SURVIVED;NO_COVERAGE;RUN_ERROR;NON_VIABLE;TIMED_OUT;STARTED;stare;nowe;Klasa;Skala;KILLED;
NEGATE_CONDITIONALS;0;1;122.0;0;45.0;0;1;0;0;0;0;0.26506024096385544;0.2694610778443114;org.hamcrest.MatcherAssert;100;0;
RETURN_VALS;0;8;232.0;0;157.0;0;4;0;0;0;0;0.4015748031496063;0.40359897172236503;org.junit.experimental.max.MaxCore;100;4;
NEGATE_CONDITIONALS;0;3;125.0;0;45.0;0;0;0;0;0;0;0.2694610778443114;0.2647058823529412;org.junit.experimental.max.MaxCore;100;3;
RETURN_VALS;0;4;236.0;0;157.0;0;0;0;0;0;0;0.40359897172236503;0.3994910941475827;org.junit.experimental.max.MaxHistory;100;4;
CONDITIONALS_BOUNDARY;0;1;27.0;0;18.0;0;0;0;0;0;0;0.4090909090909091;0.4;org.junit.experimental.theories.ParameterSignature;100;1;
RETURN_VALS;0;10;246.0;0;157.0;0;0;0;0;0;0;0.3994910941475827;0.38957816377171217;org.junit.experimental.theories.ParameterSignature;100;10;
MATH;0;1;15.0;0;15.0;0;0;0;0;0;0;0.5172413793103449;0.5;org.junit.experimental.theories.ParameterSignature;100;1;
NEGATE_CONDITIONALS;0;3;127.0;0;46.0;1;0;0;0;0;0;0.2647058823529412;0.2658959537572254;org.junit.experimental.theories.ParameterSignature;100;2;
CONDITIONALS_BOUNDARY;0;1;28.0;0;18.0;0;0;0;0;0;0;0.4;0.391304347826087;org.junit.experimental.theories.suppliers.TestedOnSupplier;100;1;
INCREMENTS;0;1;24.0;0;15.0;0;0;0;0;0;0;0.39473684210526316;0.38461538461538464;org.junit.experimental.theories.suppliers.TestedOnSupplier;100;1;
RETURN_VALS;0;2;248.0;0;157.0;0;0;0;0;0;0;0.38957816377171217;0.38765432098765434;org.junit.experimental.results.PrintableResult;100;2;
CONDITIONALS_BOUNDARY;0;1;29.0;0;18.0;0;0;0;0;0;0;0.391304347826087;0.3829787234042553;org.hamcrest.internal.ReflectiveTypeFinder;100;1;
RETURN_VALS;0;2;250.0;0;157.0;0;0;0;0;0;0;0.38765432098765434;0.3857493857493858;org.hamcrest.internal.ReflectiveTypeFinder;100;2;
NEGATE_CONDITIONALS;0;1;128.0;0;46.0;0;0;0;0;0;0;0.2658959537572254;0.26436781609195403;org.hamcrest.internal.ReflectiveTypeFinder;100;1;
RETURN_VALS;0;4;254.0;0;157.0;0;0;0;0;0;0;0.3857493857493858;0.3819951338199513;org.junit.runner.Request;100;4;
RETURN_VALS;0;3;256.0;0;158.0;1;0;0;0;0;0;0.3819951338199513;0.38164251207729466;org.junit.runner.Result;100;2;
RETURN_VALS;0;2;258.0;0;158.0;0;0;0;0;0;0;0.38164251207729466;0.3798076923076923;org.junit.experimental.results.ResultMatchers;100;2;
RETURN_VALS;0;2;260.0;0;158.0;0;0;0;0;0;0;0.3798076923076923;0.37799043062200954;org.junit.rules.RuleChain;100;2;
RETURN_VALS;0;1;260.0;0;159.0;0;1;0;0;0;0;0.37799043062200954;0.3794749403341289;org.junit.runner.Runner;100;0;
CONDITIONALS_BOUNDARY;0;1;30.0;0;18.0;0;0;0;0;0;0;0.3829787234042553;0.375;org.junit.internal.runners.JUnit38ClassRunner;100;1;
RETURN_VALS;0;3;261.0;0;161.0;1;1;0;0;0;0;0.3794749403341289;0.3815165876777251;org.junit.internal.runners.JUnit38ClassRunner;100;1;
NEGATE_CONDITIONALS;0;1;129.0;0;46.0;0;0;0;0;0;0;0.26436781609195403;0.26285714285714284;org.junit.internal.runners.JUnit38ClassRunner;100;1;
RETURN_VALS;0;6;267.0;0;161.0;0;0;0;0;0;0;0.3815165876777251;0.37616822429906543;org.junit.runners.ParentRunner;100;6;
NEGATE_CONDITIONALS;0;6;135.0;0;46.0;0;0;0;0;0;0;0.26285714285714284;0.2541436464088398;org.junit.runners.ParentRunner;100;6;
RETURN_VALS;0;13;280.0;0;161.0;0;0;0;0;0;0;0.37616822429906543;0.36507936507936506;org.junit.runners.BlockJUnit4ClassRunner;100;13;
NEGATE_CONDITIONALS;0;9;144.0;0;46.0;0;0;0;0;0;0;0.2541436464088398;0.24210526315789474;org.junit.runners.BlockJUnit4ClassRunner;100;9;
CONDITIONALS_BOUNDARY;0;1;31.0;0;18.0;0;0;0;0;0;0;0.375;0.3673469387755102;org.junit.experimental.theories.Theories;100;1;
INCREMENTS;0;1;25.0;0;15.0;0;0;0;0;0;0;0.38461538461538464;0.375;org.junit.experimental.theories.Theories;100;1;
RETURN_VALS;0;1;281.0;0;161.0;0;0;0;0;0;0;0.36507936507936506;0.36425339366515835;org.junit.experimental.theories.Theories;100;1;
RETURN_VALS;0;3;284.0;0;161.0;0;0;0;0;0;0;0.36425339366515835;0.36179775280898874;org.junit.runners.Suite;100;3;
RETURN_VALS;0;7;288.0;0;164.0;0;3;4;0;0;0;0.36179775280898874;0.36283185840707965;org.junit.experimental.categories.Categories;100;0;
NEGATE_CONDITIONALS;0;4;145.0;0;49.0;0;3;1;0;0;0;0.24210526315789474;0.25257731958762886;org.junit.experimental.categories.Categories;100;0;
RETURN_VALS;0;1;289.0;0;164.0;0;0;0;0;0;0;0.36283185840707965;0.3620309050772627;org.junit.experimental.runners.Enclosed;100;1;
INCREMENTS;0;1;25.0;0;16.0;1;0;0;0;0;0;0.375;0.3902439024390244;org.junit.runners.Parameterized;100;0;
