Operator;NOT_STARTED;All_Mutants;BETHA;MEMORY_ERROR;ALPHA;SURVIVED;NO_COVERAGE;RUN_ERROR;NON_VIABLE;TIMED_OUT;STARTED;stare;nowe;Klasa;Skala;KILLED;
INCREMENTS;0;1;21.0;0;14.0;0;0;0;0;0;0;0.4117647058823529;0.4;org.junit.experimental.theories.Theories;100;1;
NEGATE_CONDITIONALS;0;3;82.0;0;25.0;0;0;0;0;0;0;0.2403846153846154;0.2336448598130841;org.junit.experimental.theories.Theories;100;3;
RETURN_VALS;0;2;144.0;0;93.0;0;1;0;0;0;0;0.39148936170212767;0.3924050632911392;org.junit.runners.Suite;100;1;
RETURN_VALS;0;3;146.0;0;94.0;0;1;2;0;0;0;0.3924050632911392;0.39166666666666666;org.junit.experimental.categories.Categories;100;0;
NEGATE_CONDITIONALS;0;6;84.0;0;29.0;0;4;2;0;0;0;0.2336448598130841;0.25663716814159293;org.junit.experimental.categories.Categories;100;0;
NEGATE_CONDITIONALS;0;1;85.0;0;29.0;0;0;0;0;0;0;0.25663716814159293;0.2543859649122807;org.junit.experimental.runners.Enclosed;100;1;
INCREMENTS;0;1;21.0;0;15.0;1;0;0;0;0;0;0.4;0.4166666666666667;org.junit.runners.Parameterized;100;0;
RETURN_VALS;0;6;151.0;0;95.0;0;1;0;0;0;0;0.39166666666666666;0.3861788617886179;org.junit.runners.Parameterized;100;5;
NEGATE_CONDITIONALS;0;4;89.0;0;29.0;0;0;0;0;0;0;0.2543859649122807;0.2457627118644068;org.junit.runners.Parameterized;100;4;
RETURN_VALS;0;2;153.0;0;95.0;0;0;0;0;0;0;0.3861788617886179;0.38306451612903225;org.junit.runners.model.RunnerBuilder;100;2;
NEGATE_CONDITIONALS;0;1;90.0;0;29.0;0;0;0;0;0;0;0.2457627118644068;0.24369747899159663;org.junit.runners.model.RunnerBuilder;100;1;
RETURN_VALS;0;1;153.0;0;96.0;1;0;0;0;0;0;0.38306451612903225;0.3855421686746988;org.junit.runner.notification.RunNotifier;100;0;
NEGATE_CONDITIONALS;0;2;91.0;0;30.0;1;0;0;0;0;0;0.24369747899159663;0.24793388429752067;org.junit.runner.notification.RunNotifier;100;1;
RETURN_VALS;0;1;153.0;0;97.0;0;1;0;0;0;0;0.3855421686746988;0.388;org.hamcrest.internal.SelfDescribingValueIterator;100;0;
RETURN_VALS;0;1;154.0;0;97.0;0;0;0;0;0;0;0.388;0.38645418326693226;org.junit.runner.manipulation.Sorter;100;1;
RETURN_VALS;0;1;155.0;0;97.0;0;0;0;0;0;0;0.38645418326693226;0.38492063492063494;org.junit.rules.RunRules;100;1;
NEGATE_CONDITIONALS;0;1;92.0;0;30.0;0;0;0;0;0;0;0.24793388429752067;0.2459016393442623;org.junit.rules.RunRules;100;1;
CONDITIONALS_BOUNDARY;0;3;23.0;0;15.0;0;0;0;0;0;0;0.42857142857142855;0.39473684210526316;org.junit.runners.model.TestClass;100;3;
RETURN_VALS;0;11;161.0;0;102.0;1;4;0;0;0;0;0.38492063492063494;0.38783269961977185;org.junit.runners.model.TestClass;100;6;
NEGATE_CONDITIONALS;0;9;98.0;0;33.0;0;3;0;0;0;0;0.2459016393442623;0.25190839694656486;org.junit.runners.model.TestClass;100;6;
RETURN_VALS;0;1;162.0;0;102.0;0;0;0;0;0;0;0.38783269961977185;0.38636363636363635;org.junit.rules.TestWatcher;100;1;
RETURN_VALS;0;1;163.0;0;102.0;0;0;0;0;0;0;0.38636363636363635;0.3849056603773585;org.junit.rules.TestName;100;1;
RETURN_VALS;0;1;164.0;0;102.0;0;0;0;0;0;0;0.3849056603773585;0.38345864661654133;org.junit.runners.model.InitializationError;100;1;
RETURN_VALS;0;1;165.0;0;102.0;0;0;0;0;0;0;0.38345864661654133;0.38202247191011235;org.junit.runners.model.MultipleFailureException;100;1;
NEGATE_CONDITIONALS;0;1;99.0;0;33.0;0;0;0;0;0;0;0.25190839694656486;0.25;org.junit.runners.model.MultipleFailureException;100;1;
RETURN_VALS;0;4;165.0;0;106.0;0;4;0;0;0;0;0.38202247191011235;0.39114391143911437;org.junit.rules.Timeout;100;0;
